dataID,actor,role,type,message,groupID,fileID,date,time
0,189732,,Wrote,,0,023a3090-7b0a-48c4-93f0-c200d9afce41,2024-10-09,04:38:00
1,189732,,EndedActivity,,0,023a3090-7b0a-48c4-93f0-c200d9afce41,2024-10-09,04:38:00
2,186202,,SentInChat,"Tu es qui ,",0,023a3090-7b0a-48c4-93f0-c200d9afce41,2024-10-09,04:38:10
3,186202,,SentInChat,On se met 5 partout ok ?,0,023a3090-7b0a-48c4-93f0-c200d9afce41,2024-10-09,04:38:23
4,189732,,Wrote,,0,023a3090-7b0a-48c4-93f0-c200d9afce41,2024-10-09,04:39:24
5,183897,,SentInChat,Opé,1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:21:22
6,183897,,SentInChat,Opé lmkt,1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:21:39
7,193392,,SentInChat,A PAR SA LE COUZ ,1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:21:46
8,183897,,Run from terminal,,1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:23:54
9,183897,,AnswerEditionRequest,,1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:24:14
10,183897,,SentInChat,Opé ,1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:25:11
11,183897,,SentInChat,Ou lé jolie ? ,1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:26:09
12,183897,,SentInChat,A ou ,1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:26:41
13,183897,,SentInChat,Commencé ,1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:26:43
14,183897,,SentInChat,Comment nous fé la ,1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:27:23
15,183897,,SentInChat,c'est kwé faut fait ,1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:27:43
16,183897,,SentInChat,Lève ton main un coup la ,1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:28:43
17,183897,,SentInChat,aide a moins un coup la ,1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:31:04
18,183897,,Wrote,"def coincide (tab1,tab2):
    for i in range (len(a)):
        
    







coincide([78, 23, 12, 12, 54, 32], [67, 23, 44, 12, 54, 32])
",1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:31:58
19,183897,,EditionRequest,,1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:32:51
20,193392,,Wrote,"def coincide (tab1,tab2):
    for i in range (len(tab1)):
        
        
    







coincide([78, 23, 12, 12, 54, 32], [67, 23, 44, 12, 54, 32])
",1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:32:41
21,183897,,Run from editor,,1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:33:03
22,183897,,Wrote,"def coincide (tab1,tab2):
    for i in range (len(tab1)):
        if tab1[i] = tab2[i]:
            print(i)
        else:
            i += i 
    r
        
        
    







coincide([78, 23, 12, 12, 54, 32], [67, 23, 44, 12, 54, 32])
",1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:34:58
23,183897,,EditionRequest,,1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:35:29
24,193392,,Wrote,"def coincide (tab1,tab2):
    for i in range (len(tab1)):
        if tab1[i] = tab2[i]:
            print(i)
        else:
            i += i 
    return 
        
        
    







coincide([78, 23, 12, 12, 54, 32], [67, 23, 44, 12, 54, 32])
",1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:35:15
25,183897,,Run from editor,,1,0435458c-dc49-4094-b970-1db125fc235c,2024-10-09,04:35:51
