,seance_ID,groupe_ID,file_ID,messageID,role,utterance_num,message,forme,ton,content,nature,formv2
0,1,0,023a3090-7b0a-48c4-93f0-c200d9afce41,0,Navigator,0,"Tu es qui ,",question,neutral,notRelatedToProgramming_Other,askingForHelp,question
1,1,0,023a3090-7b0a-48c4-93f0-c200d9afce41,1,Navigator,0,On se met 5 partout ok ?,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,imperativeSentence
2,1,1,0435458c-dc49-4094-b970-1db125fc235c,2,Driver,0,Opé,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
3,1,1,0435458c-dc49-4094-b970-1db125fc235c,3,Driver,0,Opé lmkt,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
4,1,1,0435458c-dc49-4094-b970-1db125fc235c,4,Navigator,0,A PAR SA LE COUZ ,positiveSentence,negativeTone,notRelatedToProgramming_Other,noFeedback,neutral
5,1,1,0435458c-dc49-4094-b970-1db125fc235c,5,Navigator,0,Opé ,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
6,1,1,0435458c-dc49-4094-b970-1db125fc235c,6,Navigator,0,Ou lé jolie ? ,question,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
7,1,1,0435458c-dc49-4094-b970-1db125fc235c,7,Navigator,0,A ou ,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
8,1,1,0435458c-dc49-4094-b970-1db125fc235c,8,Navigator,0,Commencé ,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
9,1,1,0435458c-dc49-4094-b970-1db125fc235c,9,Navigator,0,Comment nous fé la ,question,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
10,1,1,0435458c-dc49-4094-b970-1db125fc235c,10,Navigator,0,c'est kwé faut fait ,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
11,1,1,0435458c-dc49-4094-b970-1db125fc235c,11,Navigator,0,Lève ton main un coup la ,imperativeSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
12,1,1,0435458c-dc49-4094-b970-1db125fc235c,12,Navigator,0,aide a moins un coup la ,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
13,1,2,0dfd43cb-9957-4102-954a-899ca075e56d,13,Driver,0,roro,neutral,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
14,1,2,0dfd43cb-9957-4102-954a-899ca075e56d,14,Driver,0,Qui est là,question,positiveTone,notRelatedToProgramming_Other,askingForHelp,question
15,1,3,1869acdd-5df3-4c97-8bbd-5108569203eb,15,Driver,0,je ne sais pas comment voir le résultat ,negativeSentence,neutral,relatedToProgramming_notRelatedToTask,askingForHelp,neutral
16,1,3,1869acdd-5df3-4c97-8bbd-5108569203eb,16,Navigator,0,faut mettre print(coincide),positiveSentence,positiveTone,relatedToProgramming_relatedToTask,taskKnowledge,neutral
17,1,3,1869acdd-5df3-4c97-8bbd-5108569203eb,17,Driver,0,essaye,imperativeSentence,neutral,notRelatedToProgramming_Other,noFeedback,neutral
18,1,3,1869acdd-5df3-4c97-8bbd-5108569203eb,18,Navigator,0,attend,positiveSentence,neutral,notRelatedToProgramming_Other,noFeedback,neutral
19,1,3,1869acdd-5df3-4c97-8bbd-5108569203eb,19,Driver,0,je crois que c'est bon,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
20,1,3,1869acdd-5df3-4c97-8bbd-5108569203eb,20,Navigator,0,attend,positiveSentence,neutral,notRelatedToProgramming_Other,noFeedback,neutral
21,1,3,1869acdd-5df3-4c97-8bbd-5108569203eb,21,Navigator,0,attend,positiveSentence,neutral,notRelatedToProgramming_Other,noFeedback,neutral
22,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,22,Driver,0,Bonjour,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
